Name,Usage,Type,SubType,Material Density,Elastic Modulus,Poisson Ratio,Material CTE,Fatigue Exponent,Fatigue Coefficient,Thermal Conductivity,Tg,Shape Factor,Material Class,Fracture Strength,Created By,Modified By,Notes
PETERS SL1307,POTTING,ELASTIC,ISO,9.50E-10,"1480@-40C, 930@0C, 427@25C, 29@50C, 0.1@100C, 0.1@130C",0.49,"1.6E-4@-40C, 1.6E-4@-4C, 3E-4@-3C, 3E-4@130C",-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",UIA69701 @ 2018-05-25 10:45:47,
PLASKON 3400,,ELASTIC,ISO,1.90E-09,18600,0.25,2.00E-05,-8.60E-02,3.20E-03,0.7,140,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
PMD9607,DIE,ELASTIC,ISO,1.90E-09,15168,0.3,8.50E-06,-8.60E-02,3.20E-03,0.3,,,POLYMER,,"ANSYS, Inc.",VKQT38 @ 2019-03-06 15:24:14,
POLYBUTYLENE TEREPHTHALATE,,ELASTIC,ISO,1.34E-09,2550,0.4,1.40E-04,-8.60E-02,3.20E-03,0.2795,66,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
POLYCARBONATE,,ELASTIC,ISO,1.42E-09,2600,0.37,4.05E-05,-8.60E-02,3.20E-03,0.305,147,,POLYMER,,"ANSYS, Inc.","ANSYS, Inc.",
POLYESTER,POTTING,ELASTIC,ISO,1.11E-09,4000,0.38,1.20E-04,-8.60E-02,3.20E-03,0.1575,-67,,POLYMER,,"ANSYS, Inc.",shoetzel @ 2020-11-16 09:26:41,
POLYMER DIELECTRIC,DIE,ELASTIC,ISO,1.39E-12,3000,0.33,5.50E-05,-8.60E-02,3.20E-03,0.3,,,ALLOY,,"ANSYS, Inc.",UIC05170 @ 2019-05-23 17:10:36,
POLYPHENYLENE OXIDE,,ELASTIC,ISO,1.90E-09,2500,0.38,1.63E-05,-8.60E-02,3.20E-03,0.403,215,,POLYMER,3.00E+01,"ANSYS, Inc.","ANSYS, Inc.",
POLYPHENYLENE SULPHIDE,,ELASTIC,ISO,1.35E-09,3312,0.38,5.04E-05,-8.60E-02,3.20E-03,0.288,218,,POLYMER,3.00E+01,"ANSYS, Inc.","ANSYS, Inc.",
POLYPHENYLENEOXIDE,,ELASTIC,ISO,1.90E-09,2500,0.38,1.63E-05,-8.60E-02,3.20E-03,,,,POLYMER,3.00E+01,"ANSYS, Inc.","ANSYS, Inc.",
POLYPHENYLENESULPHIDE,,ELASTIC,ISO,1.35E-09,3312,0.38,5.04E-05,-8.60E-02,3.20E-03,0.288,,,POLYMER,3.00E+01,"ANSYS, Inc.","ANSYS, Inc.",
